Id_bien;Code_Commune;Type_Local;Surface_Bati;Nombre_Piece_Princ
14444;2065;Appartement;73;3
14445;2124;Appartement;80;4
14446;3214;Appartement;86;3
14447;3214;Appartement;20;1
14448;3195;Appartement;42;1
14449;3213;Appartement;37;2
14450;3200;Appartement;24;2
14451;3200;Appartement;11;1
14452;3200;Appartement;18;2
14453;3198;Appartement;39;1
14454;3198;Appartement;20;1
14455;3199;Appartement;41;1
14456;3199;Appartement;102;2
14457;3199;Appartement;46;2
14458;3197;Appartement;148;4
14459;3197;Appartement;20;1
14460;3202;Appartement;110;4
14461;3201;Appartement;24;1
14462;3201;Appartement;22;2
14463;3203;Appartement;12;1
14464;3203;Appartement;39;2
14465;3204;Appartement;18;1
14466;3205;Appartement;33;1
14467;3207;Appartement;100;3
14468;3207;Appartement;84;4
14469;3208;Appartement;60;2
14470;3208;Appartement;92;4
14471;3208;Appartement;80;4
14472;3208;Appartement;41;2
14473;3208;Appartement;127;7
14474;3208;Appartement;25;1
14475;3209;Appartement;52;2
14476;3209;Appartement;170;7
14477;3209;Appartement;22;1
14478;3209;Appartement;71;3
14479;3210;Appartement;110;5
14480;3210;Appartement;35;2
14481;3210;Appartement;16;1
14482;3210;Appartement;18;1
14483;3210;Appartement;21;1
14484;3210;Appartement;28;2
14485;3212;Appartement;59;4
14486;3212;Appartement;19;1
14487;3211;Appartement;36;2
14488;2200;Appartement;47;1
14489;2232;Appartement;68;3
14490;2240;Appartement;85;4
14491;2203;Appartement;19;1
14492;2249;Appartement;42;2
14493;2290;Appartement;58;3
14494;2345;Appartement;56;3
14495;2341;Appartement;26;1
14496;2342;Appartement;56;2
14497;2256;Appartement;44;2
14498;2285;Appartement;69;3
14499;2255;Appartement;47;2
14500;2272;Maison;94;5
14501;2346;Appartement;57;1
14502;2409;Appartement;61;3
14503;2409;Appartement;20;1
14504;2453;Appartement;34;2
14505;2437;Appartement;69;3
14506;2415;Appartement;44;2
14507;2415;Appartement;55;2
14508;2414;Appartement;30;1
14509;2411;Appartement;25;1
14510;2433;Appartement;75;3
14511;2447;Appartement;56;3
14512;2513;Appartement;31;1
14513;2513;Appartement;27;1
14514;2425;Appartement;30;1
14515;2413;Appartement;53;3
14516;2410;Appartement;65;3
14517;2528;Appartement;74;2
14518;2549;Appartement;49;2
14519;2547;Appartement;60;3
14520;2566;Appartement;99;5
14521;2579;Appartement;37;2
14522;2640;Appartement;40;2
14523;2602;Appartement;45;2
14524;2580;Appartement;61;3
14525;2580;Appartement;23;2
14526;2654;Appartement;75;4
14527;2711;Maison;99;5
14528;2871;Appartement;38;2
14529;2820;Appartement;56;3
14530;2928;Appartement;49;2
14531;2826;Appartement;72;3
14532;2885;Appartement;73;3
14533;2843;Appartement;33;1
14534;2850;Appartement;34;2
14535;2853;Appartement;73;3
14536;2936;Appartement;31;1
14537;2971;Appartement;61;3
14538;2948;Appartement;48;2
14539;2976;Appartement;61;3
14540;2946;Maison;65;3
14541;2953;Appartement;41;2
14542;2945;Appartement;34;2
14543;2945;Appartement;51;3
